Year,Country,Foreign Direct Investment billion USD,Predicted FDI billion USD,FDI Potential in %,FDI Potential in billion USD,Average FDI Potential in billion USD (Last 5 Years),Average FDI Potential in % (Last 5 Years),Population size in millions,Gross Domestic Product billions of U.S. dollars,Value added in the agricultural sector as percent of GDP,Value added by the manufacturing sector as percent of GDP,Value added in the services sector as percent of GDP,Tax rate percent of commercial profits,Political stability index (-2.5 weak; 2.5 strong),Regulatory quality index (-2.5 weak; 2.5 strong),Rank
2021,Venezuela,-0.76,6.9111686,-9.093642862219559,7.671168575286865,7.2471685752868655,-24.096578904070057,28.2,482.36,5.03,12.07,51.67,73.3,-1.53,-2.2,14.0
2021,Qatar,-1.09,4.2034388,-3.8563658338074287,5.2934387588500975,6.001251369476317,-0.8585070156301822,2.69,179.68,0.3,8.76,44.75,11.3,0.96,0.86,15.0
2021,Angola,-4.36,1.0753765,-0.2466459886743388,5.4353765106201175,5.909747612953186,-0.2772171524952023,34.5,67.4,7.94,5.17,46.45,49.1,-0.71,-0.66,16.0
2021,Iceland,0.09,2.4479856,27.199840545654297,2.357985649108887,5.516470426559448,1.9273815241627077,0.37,25.6,4.52,9.17,64.62,31.9,1.37,1.53,17.0
2021,Turkey,13.22,15.946319,1.2062268249927237,2.726318626403808,4.893714416503906,1.4818655533908867,84.78,819.04,5.54,22.21,52.75,42.3,-1.1,-0.08,18.0
2021,Macao,4.85,5.7464433,1.1848336642550439,0.8964432716369632,4.709985084533691,1.8779784662520935,0.69,30.12,3.236,0.85,94.18,23.660000000000004,1.05,1.78,19.0
2021,Bangladesh,1.72,6.396025,3.7186192911724714,4.676025180816651,4.39535033416748,3.421236177965008,169.36,416.26,11.63,21.24,51.3,33.4,-0.97,-0.85,20.0
2021,Iran,1.42,6.299008,4.435921051132847,4.879007892608643,4.388605945587158,3.5219130679417114,87.92,359.71,12.39,21.22,47.33,44.7,-1.62,-1.62,21.0
2021,Nigeria,3.31,6.5971913,1.993109164281194,3.287191333770752,4.3072260475158695,3.740213245664499,213.4,440.83,23.36,14.61,43.79,34.8,-1.78,-0.93,22.0
2021,Pakistan,2.1,6.244123,2.9733918962024504,4.144122982025147,4.105651020050049,2.972111426921747,231.4,348.26,22.67,11.91,52.11,33.9,-1.67,-0.73,23.0
2021,Norway,14.19,10.197658,0.7186509926105739,-3.9923424148559565,4.023562400817871,-0.2173965589165759,5.41,482.17,1.61,5.49,52.5,36.2,1.1,1.64,24.0
2021,Denmark,14.71,9.384346,0.6379569006322761,-5.32565399169922,3.9028804092407228,1.3408730865458287,5.86,398.3,0.87,11.96,66.7,23.8,0.95,1.81,25.0
2021,India,44.73,55.482845,1.2403944848288952,10.752845306396488,3.1868974609375016,1.095056806308635,1407.56,3176.3,16.82,13.98,47.51,49.7,-0.62,-0.08,26.0
2021,Algeria,0.87,3.6350625,4.17823270819653,2.7650624561309813,2.2074088401794434,2.9019241488573186,44.18,163.04,13.03,26.0,44.03,66.1,-0.88,-1.17,27.0
2021,Bahamas,0.38,3.7851088,9.960812643954629,3.405108804702759,1.850459345817566,5.710420985433692,0.41,11.21,0.49,1.69,78.58,33.8,0.88,0.06,28.0
2021,Guinea,0.2,0.93107164,4.655358195304871,0.7310716390609742,1.8443803358078004,17.868485005683564,13.53,16.09,25.82,9.72,37.27,69.3,-0.97,-0.96,29.0
2021,Canada,64.73,47.816654,0.7387093187907039,-16.91334579467774,1.7727200012207027,1.1510519202241463,38.25,1988.34,1.7,9.87,66.87,24.5,0.94,1.62,30.0
2021,Australia,24.79,34.470898,1.3905162434272105,9.680897674560548,1.7026418304443347,1.2327550086231032,25.69,1552.67,2.31,5.55,65.65,47.4,0.85,1.84,31.0
2021,Bolivia,0.58,1.0176209,1.7545188295430152,0.43762092113494877,1.620168544769287,0.11273409694547162,12.08,40.41,12.92,10.73,50.58,83.7,-0.32,-1.15,32.0
